# Measured scattering data of gold cubes
# q I err
3.068041599999999508e-02 1.857493827078160757e+04 3.735550882003592221e+01
3.221443599999999907e-02 1.850004651744444345e+04 2.611919843667707042e+01
3.374845600000000306e-02 1.793660291973180210e+04 2.484266571550605462e+01
3.528247600000000012e-02 1.746158470497700910e+04 2.482172445284554030e+01
3.681650000000001588e-02 1.698550552657088338e+04 2.530070435511973415e+01
3.835052000000000599e-02 1.655600571018774281e+04 2.454877285069552784e+01
3.988454000000000305e-02 1.606924665928352624e+04 2.362536322406963762e+01
4.141856000000000010e-02 1.561720334988889226e+04 2.319138395433689936e+01
4.295258000000001103e-02 1.513051641490421207e+04 2.292103508916790844e+01
4.448660000000002196e-02 1.468135390349808404e+04 2.144714145191423782e+01
4.602062399999998221e-02 1.413667105751724375e+04 2.055393314623768930e+01
4.755464399999998620e-02 1.366181496455938941e+04 1.955839357388419231e+01
4.908866399999999713e-02 1.321354521249808386e+04 1.821128698479274632e+01
5.062268400000002194e-02 1.272276175259770025e+04 1.712325669852813448e+01
5.215670400000002593e-02 1.222130886687739439e+04 1.639031337379041986e+01
5.369072799999998619e-02 1.178311925955555125e+04 1.596625983081901623e+01
5.522474799999999712e-02 1.134108556305746788e+04 1.597378295306654472e+01
5.675876800000000111e-02 1.086057367365134087e+04 1.545731450369599358e+01
5.829278800000001204e-02 1.040924706011111266e+04 1.480963880246085118e+01
5.982680799999997440e-02 9.960626960651336049e+03 1.424465635752399528e+01
6.136083199999999016e-02 9.476485454858235244e+03 1.314646879750604569e+01
6.289485199999998721e-02 9.027750890022987733e+03 1.270025633128571307e+01
6.442887199999999814e-02 8.570916737340996406e+03 1.214107183264409073e+01
6.596289199999998132e-02 8.126915715926435951e+03 1.173318174898179755e+01
6.749691199999999225e-02 7.720030640542529000e+03 1.143605531168828549e+01
6.903093600000001495e-02 7.309996186448661319e+03 1.126307724108204411e+01
7.056495200000000023e-02 6.912298717244063482e+03 1.062175548262332114e+01
7.209897599999998130e-02 6.499355426962452839e+03 1.025909994733201103e+01
7.363300000000003176e-02 6.109944879277012660e+03 9.794431376621858476e+00
7.516701599999998928e-02 5.739871282963217709e+03 9.292099032932283009e+00
7.670104000000001199e-02 5.387040903159771005e+03 8.746096271788468712e+00
7.823505600000001114e-02 5.036649252102683022e+03 8.263760888277678518e+00
7.976907999999999221e-02 4.689974896918391096e+03 7.786893419927636728e+00
8.130309599999999137e-02 4.365907457488889122e+03 7.484765905485347481e+00
8.283712000000000020e-02 4.071688228366665498e+03 7.103212059840738668e+00
8.437114399999998127e-02 3.788696598066668230e+03 6.827869020262267163e+00
8.590516000000002206e-02 3.514728174994253095e+03 6.595441100005116297e+00
8.743918399999997537e-02 3.240030034142145269e+03 6.222640485470108729e+00
8.897320000000003004e-02 2.975037389338313005e+03 5.928031128575177000e+00
9.050722399999999723e-02 2.739490810844444695e+03 5.590149379794853601e+00
9.204124799999996442e-02 2.506372478636781580e+03 5.305274031227507514e+00
9.357526400000003297e-02 2.296084059991952927e+03 5.005320022177559558e+00
9.510928800000000016e-02 2.096442483890038602e+03 4.685981388661821789e+00
9.664330400000004095e-02 1.902304007003447850e+03 4.462559595585273264e+00
9.817732799999999427e-02 1.720214956489655378e+03 4.258019829090955888e+00
9.971135199999997534e-02 1.562078332769731787e+03 4.120259573940201037e+00
1.012453700000000012e-01 1.408473404569348759e+03 3.880098315483268667e+00
1.027793899999999983e-01 1.268511828720689209e+03 3.725410114775937753e+00
1.043134100000000369e-01 1.136979394126820125e+03 3.500392402558207383e+00
1.058474300000000201e-01 1.011480692206896379e+03 3.263690095225527443e+00
1.073814600000000397e-01 8.961608988432951719e+02 3.104934482907801385e+00
1.089154699999999587e-01 7.900344060482758550e+02 2.909131495045736315e+00
1.104495000000000338e-01 7.032256423256702647e+02 2.714583619131082148e+00
1.119835099999999806e-01 6.144846306578543818e+02 2.557957420409614713e+00
1.135175399999999446e-01 5.381860951245209890e+02 2.359189664925843477e+00
1.150515599999999555e-01 4.693293150272031653e+02 2.224031510958030200e+00
1.165855799999999942e-01 4.065968803999999750e+02 2.055964865536098252e+00
1.181196000000000190e-01 3.532995753770114788e+02 1.879625898151257912e+00
1.196536200000000022e-01 3.020966248295019909e+02 1.735088639123956389e+00
1.211876399999999993e-01 2.621834928076627875e+02 1.634945176233075781e+00
1.227216599999999963e-01 2.252075992218391036e+02 1.520993009184475664e+00
1.242556800000000489e-01 1.925634332329501603e+02 1.378160129041363202e+00
1.257896999999999488e-01 1.645123841007662691e+02 1.240674429436161130e+00
1.273237200000000013e-01 1.412268316498084175e+02 1.146502439569132559e+00
1.288577399999999429e-01 1.240082533003831315e+02 1.048967676165779572e+00
1.303917600000000232e-01 1.108555976574713071e+02 9.966827223470695607e-01
1.319257799999999925e-01 1.005441583854406389e+02 9.373596743848904289e-01
1.334598100000000120e-01 9.406917953486590989e+01 9.096443054661021987e-01
1.349938199999999866e-01 8.867105423946360077e+01 8.773075020424347947e-01
1.365278400000000114e-01 8.621933156206897308e+01 8.456930929436319300e-01
1.380618700000000032e-01 8.651994319578544435e+01 8.408792251513859117e-01
1.395958900000000003e-01 8.933541630651342302e+01 8.464083181606669726e-01
1.411299000000000026e-01 9.201931354521074979e+01 8.541605364551762003e-01
1.426639399999999891e-01 9.508983739731800711e+01 8.539677215237255758e-01
1.441979500000000192e-01 1.009543067452107294e+02 8.758541494196134813e-01
1.457319699999999607e-01 1.068956261122605582e+02 8.977395731948365487e-01
1.472660000000000635e-01 1.136923184727969129e+02 9.140022585739323580e-01
1.488000199999999773e-01 1.194430616463601496e+02 9.344517366968602134e-01
1.503340299999999796e-01 1.265002931444444414e+02 9.496925758973349119e-01
1.518680500000000044e-01 1.329587596268199547e+02 9.604592432113959743e-01
1.534020800000000240e-01 1.404175851448275694e+02 9.802538868609316225e-01
1.549361000000000210e-01 1.464436796827585852e+02 9.952160279148724031e-01
1.564701099999999401e-01 1.542320636291187554e+02 1.017718476172880582e+00
1.580041400000000151e-01 1.605888800011494197e+02 1.025868828047302728e+00
1.595381599999999844e-01 1.663146808467433289e+02 1.044304686425340911e+00
1.610721800000000370e-01 1.713005759076628465e+02 1.052078106110551525e+00
1.626061900000000116e-01 1.763469104969348962e+02 1.062053584279333052e+00
1.641402200000000589e-01 1.782756417597700818e+02 1.053731948742979707e+00
1.656742400000000004e-01 1.817888630141762576e+02 1.057877248397175896e+00
1.672082599999999142e-01 1.846781777992337084e+02 1.073109956235366758e+00
1.687422899999999892e-01 1.848953252632184103e+02 1.062166053732727766e+00
1.702762999999999638e-01 1.864790569057471430e+02 1.059125763721789015e+00
1.718103200000000441e-01 1.859601682532566826e+02 1.047886227331240816e+00
1.733443499999999249e-01 1.872199483295019036e+02 1.048571816205760898e+00
1.748783700000000607e-01 1.856037555333333273e+02 1.045434053508012884e+00
1.764123799999999520e-01 1.852807392042145125e+02 1.032263496850567064e+00
1.779464000000000601e-01 1.821222902494252764e+02 1.026377773735876353e+00
1.794804299999999408e-01 1.785825068647510250e+02 1.020599162107652891e+00
1.810144500000000489e-01 1.737599644720306458e+02 9.985653945501927753e-01
1.825484599999999957e-01 1.686955082593869975e+02 9.779499538359384125e-01
1.840825000000000378e-01 1.643827380463601457e+02 9.616307858877564119e-01
1.856165100000000123e-01 1.596511856394636482e+02 9.489318636406701701e-01
1.871505299999999539e-01 1.541329505590038593e+02 9.236419546105049116e-01
1.886845600000000012e-01 1.482426706892720176e+02 9.086768197540640024e-01
1.902185799999999150e-01 1.429543424191570580e+02 8.840431625194613563e-01
1.917525900000000838e-01 1.382807093888888801e+02 8.677975372486784744e-01
1.932866099999999421e-01 1.308884733992336749e+02 8.497137814369799536e-01
1.948206400000000449e-01 1.253717122747126638e+02 8.216696341052246444e-01
1.963546599999999587e-01 1.182567920900383172e+02 7.925191669984321674e-01
1.978886700000000720e-01 1.112851674091954095e+02 7.660768307721952386e-01
1.994227000000000083e-01 1.052294899666666481e+02 7.498419083239215022e-01
2.009567200000000886e-01 9.989944594789274390e+01 7.206467018105662259e-01
2.024907400000000024e-01 9.254128270000002487e+01 7.047649329945979702e-01
2.040247500000000047e-01 8.735672149693485267e+01 6.999728979503588855e-01
2.055587799999999965e-01 8.156310170766283818e+01 6.725008876409984682e-01
2.070927999999999936e-01 7.522800071800766375e+01 6.503440227752240732e-01
2.086268200000000739e-01 6.953408635938697557e+01 6.290435017956808039e-01
2.101608499999999546e-01 6.388823329655172500e+01 6.044239587213003917e-01
2.116948600000000402e-01 5.912424497701150017e+01 5.916953371773248094e-01
2.132288800000000095e-01 5.418907918007663937e+01 5.674411287680736216e-01
2.147629100000000568e-01 4.981202710727970384e+01 5.485039255224520849e-01
2.162969299999999984e-01 4.471817696321839009e+01 5.249977149648165087e-01
2.178309399999999174e-01 4.062776688467434383e+01 4.988476665658195253e-01
2.193649600000000532e-01 3.682522415287356665e+01 4.757126965021455933e-01
2.208989899999999063e-01 3.311056653908046599e+01 4.560609611218527926e-01
2.224330099999999866e-01 3.010036761264368010e+01 4.437078388058328104e-01
2.239670199999999889e-01 2.768674671111110541e+01 4.297051974858589474e-01
2.255010600000000032e-01 2.501941157547893013e+01 4.122609717750745362e-01
2.270350699999999500e-01 2.226376413333332849e+01 3.893832839304185445e-01
2.285690900000000580e-01 1.995428504904214506e+01 3.674260129947238274e-01
2.301031199999999388e-01 1.910914987356321859e+01 3.608174144297376928e-01
2.316371399999999914e-01 1.714935143639846515e+01 3.472775079983420055e-01
2.331711499999999937e-01 1.590908220574712217e+01 3.382522027867392866e-01
2.347051699999999075e-01 1.496234305517241303e+01 3.277751143349212914e-01
2.362392000000000380e-01 1.376904273946360036e+01 3.163801120728063077e-01
2.377732200000000906e-01 1.280941706436781935e+01 3.104455747402661836e-01
2.393072300000000374e-01 1.260471743639846487e+01 3.041232212810516256e-01
2.408412599999999459e-01 1.225948291302681881e+01 2.980328030366142245e-01
